Property_ID,Neighborhood,Property_Type,Bedrooms,Bathrooms,Living_Area_SqFt,Year_Built,Listing_Price,Days_On_Market,Garage_Capacity
PROP-8122,east end,condo,5,3.5,1452,unknown,call for price,999,N/A
PROP-8368,DOWNTOWN,Duplex,4,2.5,3879 sqft,2012,1423900.0,60,0
PROP-8067,westside,Single Family,1,1,1762,2011,"476,400 USD",75,2
PROP-8253,east end,condo,1,3.5,null,2010,"$497,100",65,N/A
PROP-8276,  Midtown  ,single family,2,1.5,1531 sqft,1977,731000.0,149,None
PROP-8012,Downtown,,2,2.5,"3,445 SQ FT",1965,"1,143,200 USD",56,1
PROP-8098,Lakeside,Condo,4,3.5,4577 sqft,1800,"1,500,700 USD",63,None
PROP-8150,downtown,townhouse,4,4.0,3442 sqft,2016,"$1,628,100",128,3
PROP-8349,westside,Duplex,5,1,"2,983 SQ FT",2001,"$1,398,500",9,N/A
PROP-8321,Downtown,Townhouse,4,2.5,1047 sqft,1992,"459,000 USD",153,0
PROP-8074,DOWNTOWN,condo,1,2,2711 sqft,1965,"628,100 USD",64,1
PROP-8399,midtown,Duplex,1,2,1823 sqft,2012,960300.0,54,None
PROP-8238,midtown,Penthouse,2,2.5,707 SQ FT,2008,"275,600 USD",76,None
PROP-8111,Suburbs North,Penthouse,4,3,"3,251 SQ FT",1989,call for price,93,N/A
PROP-8201,East End,Duplex,4,3,3156 sqft,1980,"$815,900",15,3
PROP-8126,midtown,,2,N/A,1302 sqft,2011,"449,600 USD",63,N/A
PROP-8065,N/A,Single Family,5,1.5,3185,1971,"$1,642,300",83,1
PROP-8315,lakeside,Townhouse,4,2.5,738 sqft,1800,394600.0,86,N/A
PROP-8269,midtown,Townhouse,1,1.5,1970 sqft,1994,"$879,300",89,2
PROP-8203,Lakeside,,2,2.5,"4,230 SQ FT",1963,"$1,937,600",35,3
PROP-8046,lakeside,single family,1,2,1845,1997,"$904,100",159,2
PROP-8076,westside,Single Family,3,1,"3,762 SQ FT",1992,"$1,104,600",92,3
PROP-8137,DOWNTOWN,Condo,3,2,2620 sqft,1964,"$955,900",170,N/A
PROP-8348,downtown,Townhouse,2,3,"1,605 SQ FT",1991,"$696,800",-5,None
PROP-8115,westside,Penthouse,3,3.5,3921 sqft,1961,"$1,783,000",142,1
PROP-8272,Westside,condo,4,1.5,2459 sqft,1991,$0,N/A,1
PROP-8000,Downtown,condo,2,3,"2,769 SQ FT",2024,"1,346,800 USD",32,None
PROP-8033,N/A,condo,2,3,3799 sqft,1990,"$1,092,100",163,2
PROP-8099,east end,Townhouse,3,3,"1,234 SQ FT",1957,"$715,400",57,1
PROP-8153,N/A,Condo,2,2.5,3325 sqft,1972,call for price,97,None
PROP-8006,Suburbs North,Penthouse,5,2.5,"4,196 SQ FT",1990,"1,727,200 USD",40,1
PROP-8157,,Single Family,1,1.5,3473,1976,"$1,192,300",155,None
PROP-8337,Westside,Townhouse,3,2.5,1952,1953,"$876,600",162,None
PROP-8373,,Penthouse,4,2,"2,186 SQ FT",2013,"$750,900",99,0
PROP-8347,DOWNTOWN,single family,4,1,2558,1991,"1,289,600 USD",159,3
PROP-8131,Lakeside,townhouse,3,1,825 SQ FT,1800,"460,600 USD",161,N/A
PROP-8154,lakeside,Penthouse,5,3.5,"1,503 SQ FT",1974,626400.0,142,3
PROP-8330,DOWNTOWN,condo,5,3,"4,291 SQ FT",1955,null,127,1
PROP-8075,East End,single family,4,3.5,1182 sqft,1800,"$491,500",27,0
PROP-8248,DOWNTOWN,Penthouse,2,1.5,1381 sqft,unknown,"371,200 USD",101,None
PROP-8027,East End,Townhouse,2,2.5,3536,2009,"$1,039,300",149,N/A
PROP-8378,Suburbs North,Condo,4,2.5,"4,118 SQ FT",2014,"1,069,700 USD",137,2
PROP-8192,Westside,townhouse,1,1,"2,467 SQ FT",1971,"1,210,900 USD",76,N/A
PROP-8194,Suburbs North,Duplex,2,2,4066,2015,"$1,751,900",132,N/A
PROP-8283,east end,Penthouse,2,3,"3,224 SQ FT",1980,"$1,009,300",86,1
PROP-8352,  Midtown  ,single family,1,2,2795 sqft,1955,"$1,387,700",54,0
PROP-8160,Downtown,Condo,2,3,"2,828 SQ FT",1800,"$707,600",88,3
PROP-8174,  Midtown  ,Penthouse,2,1,2245,2011,"962,300 USD",73,2
PROP-8346,downtown,townhouse,5,3,1916 sqft,1995,"$1,054,600",139,0
PROP-8287,midtown,condo,3,N/A,656 sqft,2024,"$368,700",70,None
PROP-8358,  Midtown  ,Duplex,5,3.5,2312 sqft,1954,"$1,325,900",1,1
PROP-8189,midtown,Single Family,5,2.5,4656 sqft,1965,"$1,441,200",25,2
PROP-8188,lakeside,Single Family,4,1.5,2379,2009,"845,500 USD",67,0
PROP-8343,Lakeside,condo,3,1.5,1536,1969,524100.0,81,None
PROP-8210,East End,Condo,1,2.5,3852,1999,"$1,975,200",138,3
PROP-8382,east end,Condo,2,1.5,736 sqft,1955,"420,000 USD",151,3
PROP-8213,downtown,condo,3,2,"3,818 SQ FT",2002,951700.0,4,1
PROP-8038,Lakeside,Duplex,1,2.5,3838 sqft,2010,"$1,478,500",44,3
PROP-8331,downtown,Single Family,4,2.5,,1968,1805300.0,7,None
PROP-8102,N/A,single family,5,1.5,"4,527 SQ FT",1976,"1,962,700 USD",106,0
PROP-8396,lakeside,townhouse,1,3.5,2398 sqft,2023,"1,152,000 USD",162,0
PROP-8212,N/A,Single Family,5,2.0,777 SQ FT,1962,"$452,100",94,2
PROP-8116,midtown,Single Family,4,3,947 SQ FT,2016,"575,200 USD",64,None
PROP-8398,Downtown,,1,2.5,"2,834 SQ FT",2000,"$808,700",25,2
PROP-8342,  Midtown  ,Single Family,3,3,"4,378 SQ FT",1993,"2,245,200 USD",46,2
PROP-8105,Lakeside,condo,4,2,1175 sqft,2011,"$485,300",7,None
PROP-8114,Westside,condo,1,3.5,4007 sqft,1978,"$977,300",31,None
PROP-8244,N/A,townhouse,4,2,3931,1955,"$1,339,100",75,2
PROP-8223,westside,Townhouse,2,3.5,"4,721 SQ FT",2021,"2,193,900 USD",138,1
PROP-8166,,townhouse,5,1,4089,2021,2042800.0,149,None
PROP-8255,DOWNTOWN,townhouse,4,2,"1,815 SQ FT",2003,"$532,400",N/A,None
PROP-8049,East End,condo,3,1,N/A,2014,"$2,418,600",169,None
PROP-8218,Lakeside,townhouse,1,1.5,3709 sqft,1968,"$1,552,900",146,None
PROP-8180,lakeside,Single Family,4,1.5,4485 sqft,1800,2143100.0,167,N/A
PROP-8369,Westside,Condo,5,2.5,840,2007,"508,200 USD",8,3
PROP-8011,DOWNTOWN,,1,1,"1,562 SQ FT",N/A,"$425,200",161,2
PROP-8030,Westside,Condo,4,2.5,2346 sqft,1800,"805,400 USD",119,N/A
PROP-8370,  Midtown  ,condo,2,1,"2,609 SQ FT",unknown,"919,900 USD",8,N/A
PROP-8200,DOWNTOWN,condo,,3.5,1859 sqft,1957,"784,000 USD",151,N/A
PROP-8362,  Midtown  ,single family,5,1,"1,836 SQ FT",2004,"663,000 USD",24,3
PROP-8294,  Midtown  ,Penthouse,3,3,3021,1997,"$1,522,500",3,N/A
PROP-8357,east end,condo,5,1.5,"4,676 SQ FT",1968,2529400.0,175,1
PROP-8021,east end,,5,1.5,3081,1971,"$1,411,600",14,2
PROP-8164,Suburbs North,Penthouse,4,2.0,3637 sqft,2007,"$1,215,600",55,3
PROP-8129,Suburbs North,townhouse,3,1,1730 sqft,1985,"$645,800",56,1
PROP-8018,east end,single family,1,2.5,2703 sqft,2021,"$984,500",153,1
PROP-8380,,single family,2,3,"1,781 SQ FT",1981,"$862,100",178,2
PROP-8059,Westside,single family,2,2.5,4283 sqft,1981,1734400.0,60,0
