Account_ID,Company_Name,Subscription_Tier,Industry_Sector,Signup_Date,Monthly_Revenue_MRR,Active_User_Seats,Cloud_Storage_GB,Support_Tickets_Opened,Net_Promoter_Score,Customer_Churned,Product_Satisfaction
SAAS-5264,Corp_745 Inc,enterprise,Cybersecurity,2023-07-21,$292.76,103,257.6,23,1,Yes,3.5
SAAS-5246,Corp_650 Inc,starter,Other,2023-07-17,4810.4 USD,133,355.5,4,2,false,N/A
SAAS-5356,Corp_977 Inc,Enterprise,Other,,57.03 USD,35,437.8,?,6,Yes,2.8
SAAS-5335,Corp_201 Inc,Professional Plan,Marketing,2023-06-06,1236.73 USD,25,58.5,8,6,N,2.6
SAAS-5214,Corp_257 Inc,Professional,Marketing,2022-07-26,$68.38,41,279.7,17,99,yes,3.7
SAAS-5230,Corp_18 Inc,Professional,Marketing,2022-07-31,$73.03,92,78.9,10,8,True,3.8
SAAS-5046,Corp_526 Inc,Professional Plan,E-commerce,2022-10-17,62.54 USD,139,203.8,8,9,yes,2.4
SAAS-5349,Corp_339 Inc,PRO,,2023-04-21,537.95 USD,22,140.3,22,N/A,True,3.6
SAAS-5221,Corp_647 Inc,PRO,Cybersecurity,2023-08-06,$92.85,147,116.2,N/A,10,N/A,3.5
SAAS-5301,Corp_308 Inc,trial,Fintech,2023-04-10,319.7 USD,111,497.7,16,6,1,2.4
SAAS-5380,Corp_578 Inc,enterprise,Other,2023-09-16,9521.75 USD,111,423.7,19,10,true,4.0
SAAS-5068,Corp_968 Inc,enterprise,,2023-08-24,2415.23 USD,8,435.8,12,4,no,1.3
SAAS-5024,Corp_594 Inc,Enterprise,E-commerce,2023-01-15,128.36 USD,119,301.4,22,10,True,1.8
SAAS-5171,Corp_377 Inc,starter,Edtech,2023-09-09,4794.62 USD,67,20.2,23,N/A,N/A,3.3
SAAS-5075,Corp_324 Inc,PRO,Other,2023-03-28,9503.7 USD,35,341.2,25,4,false,1.5
SAAS-5134,Corp_104 Inc,Enterprise,Healthtech,2022-11-16,"$2,407.63",65,351.2,21,2,1,3.0
SAAS-5094,Corp_326 Inc,Starter,Marketing,2022-12-29,61.74,107,190.7,?,5,True,2.0
SAAS-5267,Corp_392 Inc,starter,,2022-11-19,105.84,65,375.0,19,6,Y,2.7
SAAS-5316,Corp_343 Inc,N/A,Healthtech,2022-09-21,$495.93,92,153.1,20,7,False,4.1
SAAS-5199,Corp_809 Inc,ENTERPRISE,Cybersecurity,2023-09-17,"$1,198.23",55,259.0,6,3,True,3.7
SAAS-5045,Corp_295 Inc,pro,Marketing,2022-12-03,"$9,523.40",10,188.0,21,8,yes,2.3
SAAS-5205,Corp_376 Inc,pro,Edtech,2022-11-29,2427.29 USD,138,57.5,21,6,True,2.4
SAAS-5313,Corp_122 Inc,N/A,E-commerce,2023-10-14,"$1,244.42",20,411.3,11,3,N/A,N/A
SAAS-5148,Corp_857 Inc,Professional,Logistics,2023-09-22,$52.65,144,null,22,10,1,2.4
SAAS-5269,Corp_190 Inc,Enterprise,Other,2022-11-09,"$4,790.35",140,406.7,25,6,Yes,3.1
SAAS-5195,Corp_127 Inc,Enterprise,Edtech,2022-11-10,N/A,68,378.1,4,2,true,4.6
SAAS-5191,Corp_938 Inc,Starter,Other,2023-06-19,2418.13 USD,21,72.9,19,3,N/A,4.2
SAAS-5099,Corp_586 Inc,trial,Cybersecurity,2023-01-06,$125.47,123,48.8,1,1,true,4.3
SAAS-5217,Corp_326 Inc,PRO,Other,2022-09-05,"$4,848.69",128,5.9,11,N/A,true,3.2
SAAS-5169,Corp_577 Inc,PRO,Healthtech,2022-10-06,"$2,449.99",35,52.3,12,2,Y,4.7
SAAS-5098,Corp_319 Inc,enterprise,E-commerce,2023-08-19,4831.02 USD,99,153.4,16,5,1,3.8
SAAS-5033,Corp_163 Inc,ENTERPRISE,Logistics,2022-07-05,98.82,80,29.9,3,10,N,4.3
SAAS-5047,Corp_524 Inc,STARTER,Logistics,2023-04-08,4814.67 USD,N/A,220.7,22,5,1,3.8
SAAS-5014,Corp_756 Inc,PRO,Edtech,2022-07-02,"$4,838.97",93,325.6,N/A,N/A,False,1.9
SAAS-5300,Corp_245 Inc,ENTERPRISE,Other,2022-10-18,"$2,408.16",59,139.0,7,9,1,2.4
SAAS-5281,Corp_308 Inc,Professional Plan,Edtech,,$524.49,95,446.1,21,5,yes,1.9
SAAS-5361,Corp_81 Inc,Free Trial,Logistics,2023-07-25,2448.53 USD,47,98.0,9,3,N,4.9
SAAS-5351,Corp_349 Inc,ENTERPRISE,Edtech,2023-07-01,52.62 USD,-1,317.0,9,7,N,2.2
SAAS-5012,Corp_647 Inc,pro,E-commerce,2023-07-12,"$4,811.82",137,375.6,22,4,,1.7
SAAS-5210,Corp_165 Inc,Professional Plan,E-commerce,2023-10-07,N/A,97,432.3,13,10,true,
SAAS-5184,Corp_916 Inc,N/A,,2023-03-27,"$4,837.61",19,376.0,1,8,yes,2.6
SAAS-5388,Corp_366 Inc,Professional Plan,,2023-08-30,"$1,190.63",149,219.0,17,4,Yes,2.1
SAAS-5315,Corp_564 Inc,Free Trial,Edtech,N/A,$518.96,N/A,299.0,6,10,True,2.8
SAAS-5088,Corp_403 Inc,PRO,E-commerce,2023-05-04,$524.39,115,371.5,16,7,No,3.8
SAAS-5227,Corp_494 Inc,Professional Plan,Logistics,2023-01-31,"$9,549.16",3,426.0,2,5,0,1.7
SAAS-5393,Corp_250 Inc,STARTER,Edtech,2023-08-13,2439.97 USD,146,268.0,4,99,False,2.1
SAAS-5163,Corp_685 Inc,Enterprise,Fintech,2023-02-20,1218.2 USD,48,,8,8,True,1.6
SAAS-5290,Corp_126 Inc,Enterprise,Logistics,2022-11-10,1195.85 USD,95,12.8,21,3,yes,3.6
SAAS-5213,Corp_397 Inc,pro,Cybersecurity,2022-11-26,2403.07,108,23.0,9,8,no,4.5
SAAS-5377,Corp_190 Inc,Free Trial,,2023-05-26,"$4,822.96",113,166.4,12,2,No,3.5
SAAS-5005,Corp_170 Inc,Free Trial,Fintech,2023-08-26,N/A,23,236.4,17,7,no,3.6
SAAS-5334,Corp_902 Inc,PRO,Edtech,2023-06-27,$145.68,147,37.9,1,1,Y,2.9
SAAS-5272,Corp_271 Inc,Professional,Other,2023-08-12,131.61,126,189.1,10,4,false,3.5
SAAS-5266,Corp_407 Inc,ENTERPRISE,Healthtech,2022-11-02,$112.83,147,134.0,7,8,false,4.6
SAAS-5136,Corp_94 Inc,Starter,Logistics,2022-08-26,$500.17,74,null,3,10,true,2.9
SAAS-5159,Corp_969 Inc,trial,E-commerce,2023-02-02,"$1,221.77",10,37.4,15,9,no,4.1
SAAS-5376,Corp_581 Inc,Professional Plan,Logistics,2023-07-11,2427.36 USD,141,51.6,19,6,Yes,1.4
SAAS-5182,Corp_305 Inc,PRO,Logistics,2023-06-09,"$9,493.86",51,185.7,8,7,true,2.3
SAAS-5372,Corp_668 Inc,PRO,E-commerce,2023-09-03,335.49 USD,102,238.4,17,N/A,False,4.1
SAAS-5216,Corp_843 Inc,Enterprise,Marketing,2022-12-03,128.18,59,500.0,5,5,True,4.1
SAAS-5116,Corp_389 Inc,Free Trial,Fintech,2023-01-17,522.81 USD,46,52.8,8,6,yes,1.6
SAAS-5105,Corp_616 Inc,Professional Plan,,2022-07-18,"$4,817.25",50,68.5,5,4,yes,3.2
SAAS-5235,Corp_858 Inc,enterprise,Other,2022-10-20,$56.14,14,86.7,15,8,Yes,3.7
SAAS-5194,Corp_148 Inc,ENTERPRISE,Logistics,2022-09-30,4792.44 USD,98,94.9,15,7,0,4.4
SAAS-5193,Corp_255 Inc,Professional Plan,Edtech,2022-08-18,1213.86 USD,116,26.8,2,3,Y,4.8
SAAS-5008,Corp_983 Inc,ENTERPRISE,Logistics,2023-07-19,4827.09 USD,122,488.7,18,2,1,3.5
SAAS-5019,Corp_220 Inc,ENTERPRISE,Marketing,2023-05-02,"$4,801.41",24,278.2,1,5,0,3.7
SAAS-5270,Corp_542 Inc,N/A,Marketing,2023-09-18,88.47 USD,104,472.8,23,7,True,3.5
SAAS-5251,Corp_492 Inc,starter,Logistics,2023-04-19,,35,122.7,9,10,false,1.3
SAAS-5306,Corp_19 Inc,Starter,Fintech,2023-01-08,"$1,203.61",126,127.7,25,2,Y,1.1
SAAS-5001,Corp_141 Inc,Professional Plan,Other,2023-06-17,$70.34,127,27.7,20,1,No,1.7
SAAS-5062,Corp_777 Inc,STARTER,Other,2023-03-01,"$2,420.96",91,140.0,13,4,No,3.1
SAAS-5189,Corp_423 Inc,trial,Edtech,2022-12-27,"$2,429.78",77,220.5,22,4,False,3.6
SAAS-5292,Corp_472 Inc,trial,Other,2023-01-10,$332.19,133,468.1,19,4,Yes,N/A
SAAS-5355,Corp_234 Inc,starter,E-commerce,2023-10-09,515.34 USD,86,425.2,18,6,No,2.0
SAAS-5321,Corp_33 Inc,pro,Healthtech,2023-09-16,$499.04,39,490.8,11,7,N/A,1.2
SAAS-5081,Corp_118 Inc,ENTERPRISE,Cybersecurity,2023-01-23,9510.8 USD,110,92.9,17,-1,false,3.1
SAAS-5066,Corp_178 Inc,pro,Edtech,2022-12-18,$541.49,143,11.1,13,99,no,2.6
SAAS-5391,Corp_143 Inc,Professional,Edtech,2023-07-15,N/A,65,289.0,6,5,No,4.8
SAAS-5042,Corp_531 Inc,starter,Other,2022-06-02,$141.47,54,78.3,19,5,0,4.8
SAAS-5307,Corp_357 Inc,starter,Cybersecurity,2023-05-13,"$9,490.64",73,85.5,0,3,False,3.7
SAAS-5390,Corp_110 Inc,ENTERPRISE,Healthtech,2023-04-02,324.11 USD,105,150.4,12,3,N/A,5.0
SAAS-5079,Corp_100 Inc,enterprise,Other,2023-10-06,1204.93,56,248.3,23,4,False,4.6
SAAS-5203,Corp_215 Inc,Professional,E-commerce,0000-00-00,"$9,512.50",23,370.7,11,1,Yes,2.7
SAAS-5034,Corp_305 Inc,starter,Cybersecurity,2023-10-14,$72.38,16,455.7,1,3,no,2.3
SAAS-5333,Corp_376 Inc,Free Trial,Logistics,2023-09-27,1220.02 USD,116,455.2,9,4,,1.4
SAAS-5350,Corp_318 Inc,pro,Logistics,2022-09-19,129.22 USD,94,443.7,11,3,No,4.7
SAAS-5226,Corp_41 Inc,STARTER,Fintech,2023-08-12,"$2,405.34",3,218.0,12,7,no,2.5
SAAS-5089,Corp_543 Inc,Starter,E-commerce,2022-09-15,$117.85,90,200.3,10,6,false,2.7
SAAS-5029,Corp_883 Inc,Professional,Other,2023-06-10,9538.88 USD,98,120.0,22,-1,,1.4
SAAS-5154,Corp_844 Inc,trial,Other,2023-04-03,330.27 USD,90,122.2,12,8,Y,2.4
SAAS-5310,Corp_759 Inc,ENTERPRISE,E-commerce,2022-09-04,9517.96 USD,35,100.2,18,7,1,3.1
SAAS-5262,Corp_288 Inc,PRO,Logistics,2022-12-21,2446.89 USD,146,456.2,23,8,0,2.7
SAAS-5156,Corp_607 Inc,Enterprise,Marketing,2023-06-12,1230.77 USD,137,230.3,14,3,N/A,3.4
SAAS-5223,Corp_388 Inc,trial,Healthtech,2023-05-18,$90.24,89,139.3,13,7,No,2.1
SAAS-5131,Corp_574 Inc,N/A,E-commerce,2023-03-26,"$9,516.17",9999,311.3,14,6,false,4.3
SAAS-5022,Corp_670 Inc,Professional,Cybersecurity,2022-07-25,"$1,203.78",122,435.1,15,1,true,3.7
SAAS-5109,Corp_699 Inc,Starter,Marketing,2022-10-26,298.23 USD,122,269.0,9,5,1,N/A
SAAS-5132,Corp_837 Inc,STARTER,Other,2023-04-20,47.37 USD,41,499.5,17,N/A,,4.3
SAAS-5053,Corp_908 Inc,ENTERPRISE,Fintech,2022-11-15,2440.56,69,223.4,22,7,N,N/A
SAAS-5236,Corp_167 Inc,ENTERPRISE,,2023-06-29,537.74 USD,46,null,20,5,Yes,4.3
SAAS-5363,Corp_30 Inc,starter,Other,2022-11-20,"$4,798.27",84,9.7,19,6,,2.9
SAAS-5028,Corp_231 Inc,Enterprise,Marketing,2023-06-26,40.89 USD,70,361.2,13,N/A,True,1.9
SAAS-5282,Corp_385 Inc,PRO,Healthtech,0000-00-00,"$4,848.12",116,244.1,11,3,,2.0
SAAS-5181,Corp_716 Inc,pro,Marketing,2022-06-29,"$1,197.07",132,426.7,9,2,Yes,4.0
SAAS-5063,Corp_322 Inc,Professional Plan,Other,2022-12-23,504.6,32,null,25,5,N,2.6
SAAS-5285,Corp_630 Inc,ENTERPRISE,Fintech,2022-10-17,$110.97,51,171.1,12,7,Y,2.6
SAAS-5058,Corp_379 Inc,starter,Logistics,2022-06-12,39.32,74,320.2,10,10,N,4.7
SAAS-5135,Corp_765 Inc,ENTERPRISE,Edtech,2023-01-21,1209.82 USD,51,340.8,0,10,N,1.8
SAAS-5309,Corp_800 Inc,Free Trial,Edtech,2023-09-20,294.6 USD,141,249.1,24,5,N,2.4
SAAS-5111,Corp_277 Inc,Professional,Logistics,2022-10-05,525.76 USD,113,164.4,14,5,No,4.6
SAAS-5051,Corp_901 Inc,enterprise,Healthtech,2022-06-02,$102.95,137,399.8,24,5,no,4.1
SAAS-5241,Corp_147 Inc,STARTER,Other,2023-01-29,"$4,846.56",N/A,499.8,6,1,no,3.0
SAAS-5279,Corp_576 Inc,starter,Fintech,2023-02-07,$534.77,139,260.8,?,4,False,4.4
SAAS-5268,Corp_373 Inc,enterprise,Edtech,2023-02-24,$88.23,3,280.0,22,2,yes,1.7
SAAS-5365,Corp_202 Inc,Professional Plan,Fintech,2022-09-09,$332.22,39,472.2,0,99,True,1.7
SAAS-5338,Corp_208 Inc,Professional,Edtech,2023-02-06,47.59 USD,76,226.9,4,99,N,2.1
SAAS-5186,Corp_493 Inc,starter,Healthtech,2022-09-30,"$9,516.02",59,227.8,0,4,true,4.0
SAAS-5208,Corp_915 Inc,pro,Edtech,2023-10-12,4844.01 USD,149,57.9,6,3,0,3.3
SAAS-5302,Corp_815 Inc,Starter,Edtech,2022-08-23,"$9,543.83",58,274.8,22,9,True,3.3
SAAS-5085,Corp_962 Inc,Enterprise,Edtech,2023-06-01,331.8 USD,108,12.6,1,2,No,4.8
SAAS-5023,Corp_492 Inc,Starter,,2023-03-25,4843.13,25,272.2,13,3,Yes,3.1
SAAS-5146,Corp_877 Inc,STARTER,Fintech,2023-03-21,$90.52,123,276.7,1,4,no,4.7
SAAS-5259,Corp_662 Inc,ENTERPRISE,Logistics,2022-09-19,4817.64 USD,51,223.0,18,3,Y,
SAAS-5103,Corp_879 Inc,Free Trial,Healthtech,2023-06-22,132.72,79,360.8,14,7,0,1.9
SAAS-5037,Corp_539 Inc,Professional Plan,Marketing,2023-02-09,294.72,20,295.3,2,10,true,2.7
SAAS-5342,Corp_448 Inc,pro,Cybersecurity,2022-08-29,N/A,17,485.4,24,6,False,1.1
SAAS-5247,Corp_260 Inc,starter,Fintech,2022-11-25,$322.36,25,328.9,17,2,True,1.7
SAAS-5127,Corp_943 Inc,ENTERPRISE,Marketing,2022-07-11,"$4,831.79",94,268.3,11,4,N/A,
SAAS-5073,Corp_528 Inc,PRO,Cybersecurity,2023-03-20,"$9,514.88",120,369.6,10,10,true,4.8
SAAS-5112,Corp_816 Inc,Professional Plan,Cybersecurity,2022-10-08,310.45 USD,97,289.0,12,4,N,3.5
SAAS-5325,Corp_408 Inc,Starter,Logistics,2022-06-07,1192.57,53,282.3,9,2,1,1.7
SAAS-5326,Corp_657 Inc,Professional Plan,Healthtech,2023-07-16,"$9,540.98",146,74.0,9,1,Yes,4.1
SAAS-5121,Corp_776 Inc,N/A,,0000-00-00,9514.28 USD,44,227.6,1,2,false,4.6
SAAS-5396,Corp_869 Inc,starter,E-commerce,2023-01-31,"$4,834.84",137,481.7,25,2,1,2.4
SAAS-5212,Corp_931 Inc,pro,Healthtech,2023-06-21,$95.14,4,59.8,0,3,yes,4.6
SAAS-5328,Corp_632 Inc,starter,Marketing,2022-08-31,"$4,816.74",72,387.9,9,7,1,4.5
SAAS-5067,Corp_595 Inc,PRO,Marketing,2022-06-11,94.82 USD,86,230.8,0,8,1,4.2
SAAS-5137,Corp_924 Inc,Free Trial,Other,2023-09-17,102.27 USD,58,442.1,4,4,No,1.6
SAAS-5368,Corp_528 Inc,Enterprise,Logistics,N/A,$100.98,110,290.9,13,7,1,3.1
SAAS-5124,Corp_219 Inc,Professional,Fintech,2022-08-22,"$9,521.28",87,276.0,16,5,False,2.6
SAAS-5010,Corp_337 Inc,STARTER,Healthtech,,"$9,512.00",142,90.6,25,4,No,4.5
SAAS-5118,Corp_320 Inc,Professional Plan,,2023-04-18,1233.77,22,152.0,15,10,N,4.9
SAAS-5052,Corp_81 Inc,Free Trial,Cybersecurity,2022-09-01,9526.47 USD,112,null,6,1,False,2.9
SAAS-5177,Corp_479 Inc,Professional,Healthtech,2022-11-05,2420.39 USD,123,249.9,12,1,N,1.0
SAAS-5323,Corp_172 Inc,PRO,E-commerce,2022-10-07,"$4,818.46",3,432.5,13,8,0,3.6
SAAS-5119,Corp_232 Inc,Professional,Logistics,2022-07-30,$107.11,52,372.1,18,3,Yes,3.8
SAAS-5308,Corp_466 Inc,Starter,Healthtech,2022-10-24,510.12 USD,90,242.4,4,2,True,2.0
SAAS-5043,Corp_998 Inc,STARTER,Other,2022-11-02,104.73 USD,71,10.2,3,1,False,2.6
SAAS-5090,Corp_934 Inc,STARTER,Fintech,2023-01-20,$49.34,71,431.0,17,9,N/A,4.7
SAAS-5104,Corp_237 Inc,Professional Plan,Logistics,2022-09-19,$87.03,139,195.3,18,10,False,1.2
SAAS-5020,Corp_376 Inc,Free Trial,Fintech,N/A,307.53 USD,132,213.9,8,7,no,3.3
SAAS-5117,Corp_248 Inc,starter,Logistics,2022-09-29,$39.45,1,224.9,0,9,0,4.0
SAAS-5343,Corp_89 Inc,Starter,Marketing,2022-09-20,311.34 USD,9999,464.4,25,3,True,1.1
SAAS-5125,Corp_717 Inc,enterprise,Cybersecurity,2022-10-11,48.15 USD,115,180.8,1,2,,4.1
SAAS-5036,Corp_44 Inc,trial,Logistics,2022-09-14,134.68 USD,148,207.3,6,3,No,4.6
SAAS-5030,Corp_418 Inc,N/A,Cybersecurity,2022-12-10,$517.96,83,16.2,11,7,0,4.7
SAAS-5265,Corp_772 Inc,trial,Other,2022-06-14,9526.51 USD,88,124.2,11,9,False,2.7
SAAS-5147,Corp_549 Inc,Enterprise,Fintech,2022-12-28,53.74 USD,83,407.5,16,6,False,2.8
SAAS-5142,Corp_157 Inc,Free Trial,Other,2023-10-02,"$2,396.01",N/A,302.2,17,5,,1.0
SAAS-5220,Corp_468 Inc,Enterprise,,2023-07-10,$347.38,123,118.2,2,5,N,2.8
SAAS-5048,Corp_574 Inc,Free Trial,Marketing,2022-09-10,343.59000000000003 USD,107,35.0,0,7,true,N/A
SAAS-5129,Corp_994 Inc,trial,Fintech,2023-03-08,"$4,805.84",9999,437.9,6,7,,1.1
SAAS-5086,Corp_453 Inc,STARTER,Fintech,2022-07-01,1247.21 USD,115,227.7,12,7,Y,4.0
SAAS-5358,Corp_976 Inc,pro,Fintech,2023-07-18,"$4,824.02",26,88.0,23,3,false,1.7
SAAS-5263,Corp_463 Inc,Free Trial,Fintech,2022-09-01,138.77,88,379.9,18,1,Yes,3.6
SAAS-5185,Corp_634 Inc,starter,Other,2023-03-19,116.26 USD,63,65.9,8,3,N,1.8
SAAS-5296,Corp_390 Inc,Free Trial,,2023-10-03,1227.36,27,132.9,4,7,,4.7
SAAS-5060,Corp_464 Inc,PRO,Logistics,2022-11-09,509.88,51,141.6,10,10,false,1.3
SAAS-5151,Corp_326 Inc,pro,,2022-10-15,1203.77 USD,67,106.4,21,1,no,2.3
SAAS-5234,Corp_916 Inc,enterprise,Fintech,2023-06-24,$289.38,120,32.3,17,8,True,4.9
